Blog	four	looking	second	here	music	until	example	want	feature	wrong	easier	series	re	wasn	service	needed	project	came	than	best	men	asked	chrome	much	life	worked	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	leave	team	love	working	awesome	such	data	years	course	didn	internet	million	quite	city	future	san	say	saw	note	take	ways	going	where	sites	screen	many	wants	photos	technology	being	around	world	power	favorite	image	her	gone	am	original	tv	th	large	small	past	hours	social	action	via	company	learn	sense	huge	its	always	found	really	research	major	sell	self	also	play	sometimes	set	see	currently	available	last	whole	community	read	recent	person	couple	d	anything	into	link	line	posted	us	ago	having	code	results	young	try	video	let	great	makes	tools	next	high	process	move	doing	could	system	face	fact	should	hope	means	stuff	edition	email	co	off	less	web	five	become	software	problem	worth	red	above	told	word	work	interview	after	order	office	then	them	network	created	another	do	away	terms	com	air	voice	hand	photo	thanks	night	comments	post	months	way	war	true	update	together	global	change	usually	market	live	car	write	product	remember	still	half	now	year	space	shows	online	america	only	between	article	comes	these	media	thinking	real	early	business	aren	start	lot	trying	building	since	month	very	family	put	almost	site	history	help	actually	android	event	issue	ask	launch	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	ready	used	user	game	popular	step	within	computer	doesn	happens	youtube	go	does	facebook	download	started	control	links	including	him	front	keep	exactly	need	able	based	she	state	party	well	page	twitter	home	he	friends	using	companies	likely	even	ever	never	tell	give	before	better	weeks	went	side	open	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	down	digital	weekend	daily	finally	did	run	making	may	maybe	talk	nbsp	group	interesting	thing	think	first	long	little	anyone	were	performance	especially	show	behind	get	reading	morning	enough	across	similar	according	among	those	different	same	money	images	e	videos	general	again	important	u	starting	public	search	two	share	needs	coming	through	good	button	everyone	house	hard	idea	done	least	part	built	click	build	most	find	giant	common	please	point	simple	simply	understand	talking	fun	itself	yesterday	spent	big	bit	google	often	back	either	forward	single	giving	others	bunch	ll	age	day	announced	ipad	text	national	taking	value	center	thought	add	works	buy	j	special	under	every	school	street	changes	would	phone	must	me	times	end	over	writing	each	driving	got	free	days	already	top	too	tool	took	though	watch	amazon	report	full	however	news	experience	several	everything	head	hear	check	no	cool	says	goes	iphone	today	continue	local	information	happened	name	turn	place	white	released	any	ideas	sure	later	come	case	myself	someone	html	week	without	model	seems	blog	there	program	far	list	design	version	known	rather	short	might	number	man	expect	friday	feel	story	store	kind	added	nothing	his	hit	art	recently	attention	question	called	users	helping	once	issues	apple	heart	app	use	few	women	getting	something	six	instead	looks	our	york	which	who	why	view	stories	job	april	perhaps	gets	other	smart	know	press	because	lead	create	own	apps	made	whether	book
Schneier on Security	0	0	2	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	6	0	2	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	4	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	3	1	5	0	1	0	1	0	0	0	0	0	0	0	1	0	6	0	0	2	0	0	0	1	0	0	2	0	0	2	0	0	3	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	2	0	0	1	0	0	3	1	0	1	0	0	0	1	1	2	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	1	1	0
The Superficial - Because You're Ugly	1	1	2	12	0	0	0	1	0	1	0	1	8	0	0	0	0	0	4	2	4	0	0	3	1	3	2	6	3	1	4	0	5	1	0	1	1	0	8	0	0	0	1	2	0	0	0	0	0	3	0	0	0	3	0	2	0	0	3	0	6	9	0	0	1	2	1	0	2	0	2	0	1	0	17	0	0	0	0	0	0	0	3	2	1	0	0	1	0	0	2	1	0	2	2	0	1	1	0	4	0	0	0	1	0	0	4	0	0	41	1	1	1	1	0	2	1	0	1	2	0	2	0	0	0	0	1	2	0	2	0	1	2	0	0	2	1	0	3	0	1	1	1	1	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	2	2	0	0	2	5	0	0	0	0	0	1	3	5	2	1	1	0	9	0	2	1	1	0	0	0	1	0	0	0	0	0	2	0	11	0	0	0	1	2	1	0	0	1	2	0	2	1	3	0	1	0	1	0	0	4	1	3	2	2	0	0	2	0	3	0	0	0	1	0	1	0	0	1	1	3	0	0	2	0	0	2	3	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	2	1	0	1	1	0	2	0	3	0	0	13	0	2	2	0	0	0	11	2	0	0	0	4	1	7	2	0	0	0	1	1	1	1	0	2	0	0	0	1	2	7	1	0	0	0	1	0	1	0	5	1	0	0	2	0	0	7	0	0	3	1	3	0	0	1	0	0	0	0	0	3	0	0	3	1	0	0	3	0	1	0	8	1	1	0	5	0	4	0	0	1	0	0	0	0	2	3	0	1	0	0	4	0	0	1	0	4	0	0	0	2	1	1	0	0	0	0	0	6	0	1	0	1	0	0	0	0	3	0	0	3	2	0	1	0	1	6	0	0	1	0	0	0	6	0	7	0	0	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	3	0	0	4	0	0	1	0	0	0	5	0	3	3	2	5	0	4	1	2	0	0	1	1	5	0	0	2	0	1	1	6	0	1	2	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	1	1	0	0	0	7	2	0	2	0	7	0	0	0	0	0	0	0	0	1	0	3	0	1	0	2	1	0	0	2	7	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	3	1	1	0	14	9	1	0	0	0	0	0	3	6	0	4	0	21	1	0	1	0	3	1	0
Search Engine Roundtable	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	2	1	0	2	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	4	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	1	0	1	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0
Copyblogger	0	0	0	1	0	0	0	5	0	0	0	0	2	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	1	0	5	0	0	1	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	4	0	0	0	0	1	3	0	4	0	0	0	1	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	6	0	0	0	2	0	0	0	0	0	1	0	2	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	10	0	1	1	1	0	1	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	1	0	0	1	0	0	2	4	1	0	0	3	1	1	0	0	4	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	8	2	0	0	0	0	4	0	0	0	0	0	0	10	0	3	3	0	0	0	1	1	2	0	0	0	0	1	1	1	1	0	0	0	0	0	3	12	0	1	1	0	0	0	0	1	3	10	0	1	0	0	0	0	1	0	1	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	3	0	1	0	0	4	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	2	0	1	1	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	4	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	3	0	1	0	9	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	5	1	0	0	2	0	3	0	1	0	0	1	0	0	3	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0
John Battelle's Search Blog	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	1	0	0	3	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	4	0	1	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	3	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	3	0	1	3	0	0	0	0	0	0	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	14	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0	1	2	1	1	4	0	0	1	0	1	1	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	22	1	0	1	3	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	21	2	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	22	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1	3	0	0	1	0	3	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	4	2	0	0	0	4	0	0	0	21	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	2	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1
Engadget RSS Feed	0	2	0	0	1	2	0	0	0	0	0	0	5	0	2	0	2	0	2	0	0	0	2	0	1	0	3	0	0	2	1	2	2	0	0	1	0	2	5	0	4	0	0	0	2	2	1	0	2	0	1	0	0	1	0	0	0	0	1	0	2	2	0	0	2	4	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	3	0	0	0	8	0	0	0	0	0	0	3	0	2	0	1	0	1	0	3	0	0	1	1	0	1	2	0	3	0	1	0	5	1	0	1	1	0	0	0	3	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	1	5	2	0	0	0	0	0	1	0	0	0	2	1	3	0	0	2	0	0	0	2	0	1	1	0	0	1	1	0	4	2	0	1	2	0	1	0	0	1	0	1	0	4	0	0	0	1	2	1	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	3	1	1	1	0	1	0	0	1	0	1	2	0	2	0	1	3	1	0	1	0	1	0	0	0	0	0	0	0	1	0	2	2	2	0	0	0	0	2	2	1	0	0	0	1	0	2	0	0	1	0	0	0	2	0	2	1	1	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	1	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	3	1	1	0	2	0	0	0	2	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	6	0	3	0	1	0	2	0	0	0	0	1	5	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	3	2	0	0	0	0	2	0	0	2	1	2	3	0	0	0	0	1	1	3	4	1	0	1	1	2	1	0	0	0	0	5	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	0	0	2	3	1	0	0	1	0	0	1	0	1	0	1	2	0	0	0	2	1	0	0	3	0	0	1	0	0	3	2	0	0	0	0	0	1	1	2	0	0	1	0	1	1	1	0	2	0	0	0	0	0	0	0	0	4	2	0	1	1	0	1	2	0	1	0	1
TMZ.com	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	2	0	1	0	0	0	4	0	0	0	2	3	2	0	1	0	0	1	0	2	2	0	0	0	1	2	0	3	0	1	0	3	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	2	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	5	0	2	0	0	0	0	6	1	1	0	0	2	0	1	2	0	4	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	1	2	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	6	0	1	0	2	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	1	0	0
A Consuming Experience (full feed)	0	0	2	6	0	0	0	7	0	0	1	0	1	1	3	0	0	1	5	5	0	0	8	2	1	1	4	3	0	0	5	4	3	0	1	1	0	0	4	0	0	0	1	0	1	1	4	1	4	4	0	2	0	1	0	1	0	1	3	0	3	0	4	2	3	0	0	0	2	1	0	0	0	0	3	0	0	0	3	0	0	1	0	0	0	3	1	0	0	0	0	2	4	0	0	0	0	0	0	9	0	3	5	9	0	1	1	0	0	14	2	0	1	5	4	1	3	7	0	3	3	2	0	1	0	2	0	2	0	0	1	3	0	1	5	2	5	2	0	0	6	2	0	3	0	2	0	2	2	0	0	0	0	5	1	4	7	0	13	6	0	11	2	10	16	9	0	0	2	6	3	1	0	0	0	2	0	1	0	0	2	0	5	0	0	14	1	0	9	5	0	0	0	0	0	1	8	3	11	2	6	1	1	0	21	3	1	2	0	1	2	3	0	1	0	5	2	1	0	0	1	3	0	2	0	3	0	1	4	0	4	2	0	3	0	0	0	2	0	4	1	2	0	2	1	2	1	0	9	3	0	0	3	0	5	3	0	0	4	2	0	4	1	2	1	1	0	0	4	1	10	1	1	0	1	1	4	3	0	1	0	0	12	0	0	6	2	0	0	2	6	1	0	0	2	16	2	1	0	0	1	0	7	4	4	0	0	0	3	0	0	1	7	6	0	0	0	14	2	0	0	1	5	1	1	7	1	0	8	0	0	1	1	4	1	1	1	1	0	3	4	1	12	1	0	2	0	2	0	0	2	1	1	1	0	4	0	0	7	9	0	1	0	3	5	0	0	0	0	3	2	0	0	7	0	1	4	0	0	16	0	5	10	0	1	1	0	3	1	0	0	0	0	0	0	1	3	7	3	11	1	0	0	0	3	0	6	0	1	1	0	22	0	2	1	0	1	13	6	5	0	0	4	0	0	0	1	2	0	3	11	2	3	8	0	0	0	1	1	2	2	3	6	7	1	2	2	0	2	1	1	0	1	0	0	0	0	5	10	0	2	0	0	0	0	0	1	1	2	1	0	1	1	1	0	5	2	0	2	3	1	0	0	6	0	6	0	14	4	0	4	0	3	2	4	2	2	0	1	0	0	0	0	1	0	1	0	1	0	0	2	0	1	0	8	0	0	2	0	0	0	19	3	0	2	1	0	2	0	0	0	22	4	3	7	0	0	0	0	0	5	0	3	8	3	0	1	4	0	0	2	0
Latest from Crooks and Liars	0	1	0	2	1	1	0	0	0	0	0	0	3	1	0	0	0	0	0	1	5	2	0	0	0	0	0	5	0	0	6	1	3	0	1	0	0	0	1	2	0	2	0	0	0	0	3	0	1	0	0	1	0	0	0	0	1	0	1	0	2	1	0	1	3	5	0	0	0	3	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	1	2	0	0	1	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	2	2	0	0	1	2	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	2	1	1	1	1	6	3	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	1	3	2	0	0	0	0	1	0	1	0	0	0	3	0	0	0	1	0	0	0	2	1	1	0	1	0	2	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	1	8	0	0	0	1	0	0	8	1	4	0	0	0	2	25	0	1	0	0	1	0	0	2	1	0	1	0	0	1	3	0	2	0	0	0	0	1	1	1	1	2	4	2	1	1	0	0	2	0	0	0	1	0	2	0	1	3	0	0	3	0	2	0	0	0	1	3	2	1	0	2	7	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	6	0	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0	2	2	0	0	0	0	4	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	2	2	0	0	0	2	3	0	2	0	0	6	0	2	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	1	0	0	2	0	2	1	0	0	0	0	0	1	2	0	0	2	0	1	0	0	1	0	2	0	3	0	0	0	0	0	1	6	0	0	2	0	0	0	0	0	0	0	3	1	2	3	1	0	0	0	2	21	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	5	1	4	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	1	1	4	0	0	0	0	2	0	1
SimpleBits	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	3	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	1	0	9	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	7	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	2	0	8
